PLAYERID,NAME,CLUB,GRADE,ERA,G,W,L,SV,HLD,IP,H,HR,BB,HBP,SO
365,이태양,NC,C,4.21,10,2,2,0,0,47,44,7,26,8,27
351,이재학,NC,C,4.58,26,12,4,0,0,127.667,140,19,54,6,134
173,박민석,NC,C,1.66,21,0,0,1,3,21.667,10,2,11,6,27
470,최성영,NC,C,1.93,7,0,0,0,0,4.667,8,0,2,0,4
68,김선규,NC,C,2.93,17,1,0,0,0,15.333,20,1,8,1,6
216,배재환,NC,C,4.09,11,1,1,0,0,22,17,1,9,0,15
384,임정호,NC,C,5.4,42,1,1,1,7,23.333,25,0,11,6,29
326,이민호,NC,C,5.51,45,9,9,2,3,130.667,159,18,55,6,102
380,임서준,NC,C,5.68,2,0,1,0,0,6.333,10,0,3,0,4
163,민성기,NC,C,6.04,25,2,0,0,1,28.333,33,2,15,4,18
418,정수민,NC,C,6.19,15,3,3,0,0,48,59,4,29,5,31
200,박준영,NC,C,6.95,32,1,3,0,5,33.667,37,4,18,3,33
176,박상혁,NC,C,7.71,2,0,0,0,0,2.333,3,1,3,0,3
11,강장산,NC,C,11.57,3,0,1,0,0,2.333,3,2,3,0,1
125,김학성,NC,C,14.54,4,0,0,0,0,4.333,11,0,3,1,0
316,윤희상,SK,C,4.84,23,9,6,0,0,122.667,143,18,44,6,74
234,세든,SK,C,5.37,12,5,5,0,0,62,76,8,17,1,43
198,박종훈,SK,C,5.66,28,8,13,0,0,140,141,17,91,23,104
404,전병두,SK,C,0,1,0,0,0,0,0.333,0,0,0,0,0
447,조한욱,SK,C,0,2,0,0,0,0,2.333,1,0,4,0,2
122,김태훈,SK,C,4.3,15,0,1,0,0,14.667,15,1,12,1,9
231,서진용,SK,C,4.73,25,0,0,0,3,26.667,26,3,13,2,30
420,정영일,SK,C,4.74,21,1,0,0,1,24.667,16,3,12,3,18
352,이정담,SK,C,5.06,6,0,0,0,0,5.333,6,1,2,0,0
192,박정배,SK,C,5.4,49,2,3,2,11,51.667,55,6,17,3,26
254,신재웅,SK,C,5.5,35,0,1,0,4,18,16,4,17,3,17
77,김승회,SK,C,5.92,23,1,1,0,4,24.333,29,4,9,0,19
161,문승원,SK,C,6.64,20,4,4,0,0,63.667,86,12,33,3,49
140,라라,SK,C,6.7,17,2,6,0,1,48.333,66,5,30,1,40
157,문광은,SK,C,9.53,17,1,1,0,1,17,30,6,7,0,13
385,임준혁,SK,C,10.06,12,2,6,0,0,34,57,6,10,2,20
317,이건욱,SK,C,27,1,0,0,0,0,0.667,2,0,0,0,1
