PLAYERID,NAME,CLUB,GRADE,POS,G,IP,E,FPCT,CS
403,전민수,kt,A,D,0,0,0,0,0
404,전병두,SK,C,1,1,0.333,0,0,0
404,전병두,SK,C,D,0,0,0,0,0
405,전상현,KIA,C,1,8,13.333,0,1,0
405,전상현,KIA,C,D,0,0,0,0,0
406,전유수,SK,B,1,46,54.333,1,0.889,0
406,전유수,SK,B,D,0,0,0,0,0
407,전인환,LG,C,1,5,6.333,0,1,0
407,전인환,LG,C,D,0,0,0,0,0
408,전준우,롯데,A,8,25,209.333,0,1,0
408,전준우,롯데,A,D,0,0,0,0,0
409,정근우,한화,B,4,138,1170.667,16,0.979,0
409,정근우,한화,C,9,2,3,0,0,0
409,정근우,한화,C,7,1,3,0,1,0
409,정근우,한화,C,8,2,5,0,1,0
409,정근우,한화,B,D,0,0,0,0,0
410,정대현,kt,A,1,22,91.333,1,0.938,0
410,정대현,kt,A,D,0,0,0,0,0
411,정대현,롯데,C,1,24,17.333,1,0.833,0
411,정대현,롯데,C,D,0,0,0,0,0
412,정대훈,한화,C,1,36,38.667,0,1,0
